tahun,lokasi,jumlah_kunjungan
2008,Taman Impian Jaya Ancol,13567630
2009,Taman Impian Jaya Ancol,12920733
2010,Taman Impian Jaya Ancol,12834890
2011,Taman Impian Jaya Ancol,18450016
2012,Taman Impian Jaya Ancol,15848956
2008,TMII,4510679
2009,TMII,4822945
2010,TMII,5298719
2011,TMII,5186445
2012,TMII,7888787
2008,Ragunan,3319186
2009,Ragunan,3545212
2010,Ragunan,3580024
2011,Ragunan,4090567
2012,Ragunan,4283895
2008,Monumen Nasional,924445
2009,Monumen Nasional,2112217
2010,Monumen Nasional,1253266
2011,Monumen Nasional,1516153
2012,Monumen Nasional,1418469
2008,Museum Nasional,104739
2009,Museum Nasional,165907
2010,Museum Nasional,375710
2011,Museum Nasional,193864
2012,Museum Nasional,148118
2008,Museum Satria Mandala,77525
2009,Museum Satria Mandala,53769
2010,Museum Satria Mandala,63797
2011,Museum Satria Mandala,74742
2012,Museum Satria Mandala,50818
2008,Museum Sejarah Jakarta,119641
2009,Museum Sejarah Jakarta,245682
2010,Museum Sejarah Jakarta,724082
2011,Museum Sejarah Jakarta,437040
2012,Museum Sejarah Jakarta,396253
2008,Pelabuhan Sunda Kelapa,14648
2009,Pelabuhan Sunda Kelapa,12677
2010,Pelabuhan Sunda Kelapa,34112
2011,Pelabuhan Sunda Kelapa,34179
2012,Pelabuhan Sunda Kelapa,32067
